paymentId,originAccount,destinationAccount,amount
d3681ac3-0d91-4f70-b0eb-e44c40c3d5a0,NL93109237154559,NL75645283798457,€300144.93
7b461426-2489-4e33-93b5-49253b2b435e,NL92669047265661,NL17268992225980,€600566.97
54fe7fdf-e645-4e20-ab42-bf2fb19f2f8e,NL36708369238905,NL43062699033814,€392083.69
dc05cd2e-3826-434c-94bc-6a2fc8dd6670,NL93690483401644,NL3181886803920,€193096.86
8950a323-114d-4596-bf65-134befbf56e3,NL19958455851597,NL35109172214243,€567632.98
8de052ac-ab1c-4441-a610-b32edd6ae75e,NL24333792701959,NL20480959945251,€181755.73
c902d252-a741-41d5-9e2e-dc32bef7e683,NL93632839168788,NL82944566077188,€10633.91
47eb2d16-e1c7-4e5d-94cb-0ec72a2f57b5,NL90637173224906,NL7690413757762,€638786.95
d8088a09-1dd3-41c7-8d04-ac1a47acd6c9,NL89780677850450,NL71343584451370,€309321.92
b85db58e-b1d3-428c-8816-4783c9184d1c,NL21867884380918,NL37835750713033,€737521.14
a261f1bb-ce97-4b23-b179-4f9d8466e560,NL15982066303092,NL72928710577621,€341185.14
cf84d815-45ee-4207-87da-031c2741f424,NL8153996986536,NL44110783013820,€74244.44
2899eb3a-eb3e-4082-b790-72dfbb66447a,NL76519857536740,NL11203274838029,€545193.21
e644dc9f-bb80-429c-aa25-d69ecdaa8d04,NL74894896961704,NL27999038625255,€681786.85
bcbee35e-02de-4042-bd3c-812fe4b88320,NL94378362131649,NL22469411347409,€218410.48
d76365af-cf4d-4c17-b246-5060bc8638f9,NL86820649950587,NL23628925242022,€557290.80
b0e40228-7931-4091-9d44-166217a0f2bb,NL39657482174450,NL36628558889067,€563264.17
f4db23ab-cf05-46ca-b3dc-4f4d2d371b3a,NL34657668549517,NL72766822163028,€738451.00
41dbfed8-2315-4af4-b2ae-9acb7e58976b,NL94577628817745,NL82074402290975,€642261.54
afbe811f-be8a-436a-8bde-17de88bf73f4,NL7267117163575,NL93178414387317,€612059.95
3443fcf7-7ac7-4f97-9a04-e941e61eece6,NL18917426818716,NL32528370579184,€956764.75
08897a11-58de-4c15-9d3a-86f9ed8324aa,NL34321074166220,NL9269493330392,€634259.16
cbda22be-08e6-4b1b-95a7-36a40e36edfe,NL99226472772380,NL53988469444681,€629583.97
